"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
	% Known	99.01	99.82	99.8	99.88	100	99.28	99.88	98.93	99.86	99.81	99.83	99.68	99.79	99.67	99.86	99.68	99.74	99.74	99.87	99.83	99.91	99.48	99.92	99.89	99.76	99.94	99.74	99.91	99.77	99.73	99.85	99.84	99.91	99.79	99.95	99.86	99.9	99.94	99.75	99.71	99.89	99.86	99.83	99.94	99.94	99.99	99.91	99.34	99.94	100	99.65	99.89	99.94	99.84	99.89	99.62	99.87	99.87	99.69	99.69	99.88	99.89	99.79	99.91	99.82	99.84	99.87	99.96	99.92	99.83	99.79	99.98	99.93	99.97	99.63	99.92	99.95	99.98	99.96	99.96	99.99	99.93	99.97	99.93	99.99
	% Eukaryote	40.01	28.49	35.19	41.9	3.83	52.74	61.42	38.95	17.22	59.97	19.16	43.29	13.08	64.51	19.11	27.04	24.51	18.78	23.45	34.59	27	42.42	31.87	15.51	30.68	32.9	36.38	25.85	37.76	35.76	47.95	36.51	31.72	27.38	32.48	15.3	26.74	30.89	39.41	17.5	38.53	31.56	29.2	33.35	7.08	9.72	13.28	43.98	8.25	8.28	15.19	16.61	57.21	13.46	21.11	12.48	45.19	19.16	62.77	14.5	14.03	23.63	31.64	11.31	6.52	13.04	3.56	3.86	7.11	5.17	14.73	14.2	17.92	33.38	16.47	12.17	33.75	5.35	8.07	12.95	13.34	6.07	5.1	3.97	8.84
	% Prokaryote	58.93	71.32	64.61	57.98	96.17	46.55	38.44	59.95	82.64	39.84	80.66	56.38	86.71	35.16	80.75	72.62	75.22	80.96	76.42	65.24	72.92	57.04	68.05	84.35	69.08	67.03	63.33	74.06	62.01	63.98	51.91	63.33	68.2	72.41	67.47	84.56	73.16	69.05	60.34	82.2	61.36	68.29	70.63	66.6	92.83	90.27	86.64	55.36	91.69	91.72	84.46	83.28	42.72	86.38	78.77	87.15	54.68	80.71	36.9	85.19	85.85	76.26	68.14	88.6	93.3	86.8	96.31	96.1	92.81	94.66	85.06	85.77	82.01	66.6	83.16	87.75	66.2	94.63	91.89	87.01	86.65	93.87	94.86	95.96	91.15
	<<<Acantharea__p>>>																																																																																					
Eukaryota;Acantharea__p;Acantharea;Holacanthida;Acanthoplegmidae;NA;NA	Acanthoplegmidae																																																																																				0.37	
	<<<Annelida>>>																																																																																					
Eukaryota;Annelida;Polychaeta;Phyllodocida;NA;NA;NA	Phyllodocida																																																										0.08																											
	<<<Apicomplexa>>>																																																																																					
Eukaryota;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium gallinaceum	Plasmodium gallinaceum																				0.09																														0.35							0.06					0.02			0.07			0.21																	
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Cephaloidophoridae;NA;NA	Cephaloidophoridae																																																								0.23																													
