ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	NA
ASV_10	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	NA	NA
ASV_100	Eukaryota	Ciliophora	NA	NA	NA	NA	NA
ASV_1000	Eukaryota	Cryptophyceae__p	Cryptophyceae	NA	NA	NA	NA
ASV_1001	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_1002	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN_169 marine group	NA	NA
ASV_1003	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SCGC AAA164_E04	NA
ASV_1004	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	NA
ASV_1005	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA
ASV_1006	Eukaryota	Streptophyta	Bryopsida	NA	NA	NA	NA
ASV_1007	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3_93	NA	NA
ASV_1008	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	NA	NA
ASV_1009	Eukaryota	Ciliophora	Prostomatea	Prorodontida	NA	NA	NA
ASV_101	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	NA
ASV_1010	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA	NA	NA
ASV_1011	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	NA
ASV_1012	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_1013	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	NA
ASV_1014	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	NA
ASV_1015	Eukaryota	Ciliophora	Prostomatea	Prorodontida	Halodinium__f	Halodinium	Halodinium verrucatum
ASV_1016	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_1017	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1_7 clade	NA
