x	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
ASV_1	994	1121	992	1289	682	1384	570	1106	2050	518	1681	3498	3811	389	2253	1434	2100	2888	863	1426	2605	991	2825	3806	2718	1597	1512	2863	1494	1037	505	1317	1288	1270	3864	3206	4161	1603	1086	3250	2149	1896	5801	772	1589	1436	2546	748	862	1032	3378	1827	907	1928	1972	2902	828	2042	486	1277	3269	2471	2633	1508	2172	2954	2369	3743	3897	2198	1063	719	618	1039	2392	1439	1801	3653	2074	2476	1262	2442	847	2901	2577
ASV_2	51	135	87	344	1488	99	49	295	1142	526	494	342	658	127	1030	925	687	636	327	344	497	214	754	1031	296	435	292	607	399	41	0	16	31	183	1080	1044	854	355	124	914	326	638	1339	893	843	1400	1572	114	1502	893	1179	903	525	599	549	355	605	1144	157	522	662	822	879	1212	1920	958	806	1843	1130	960	378	2177	2687	1691	1534	1638	799	2309	1624	2070	1847	2791	2207	2316	3506
ASV_3	205	256	193	346	186	199	152	198	434	79	232	623	505	79	308	225	599	381	332	176	480	101	528	498	826	636	99	820	151	196	185	459	1191	451	699	771	1956	628	313	870	720	951	1967	85	319	287	399	199	128	202	483	379	173	328	307	405	185	446	68	316	446	426	386	162	368	435	510	431	479	446	213	136	164	330	790	208	390	742	391	399	277	334	214	510	489
ASV_4	0	163	0	153	329	169	45	221	193	136	188	404	135	0	193	229	219	77	138	196	560	373	586	457	725	554	121	438	122	878	741	1032	931	623	623	300	962	265	615	623	264	997	2027	126	0	317	320	74	317	195	284	203	154	255	271	87	178	210	139	141	124	218	432	296	665	373	1417	344	420	227	167	491	726	364	519	440	254	468	303	382	499	531	528	584	533
ASV_5	10	34	53	208	0	56	225	272	116	106	85	835	517	662	87	14	236	906	202	26	1209	361	1521	0	93	644	223	176	389	1138	1542	764	1826	539	759	246	1217	375	1644	370	760	547	1145	0	0	0	59	57	12	0	43	56	43	102	14	374	47	133	611	50	369	135	63	0	8	172	0	0	9	10	58	47	182	38	157	180	147	14	2	0	30	0	12	28	0
ASV_6	533	334	267	759	0	1004	268	1256	343	218	93	707	171	198	289	74	829	166	36	32	544	850	1369	242	439	237	457	1437	447	99	49	34	121	306	1408	256	355	348	571	746	934	852	1709	27	0	0	6	354	0	3	245	181	194	51	157	119	149	407	213	184	208	212	42	0	26	87	0	0	218	108	246	0	0	0	0	0	315	0	3	7	0	0	0	8	0
ASV_7	109	284	244	456	110	204	287	522	314	94	481	387	343	58	272	99	696	234	99	228	262	447	254	294	42	124	339	289	329	225	178	75	663	858	252	170	654	240	183	444	103	353	1053	174	90	122	73	120	67	35	275	189	73	514	152	258	53	278	85	552	354	231	523	229	324	337	247	367	599	252	269	73	109	139	95	107	118	106	68	50	79	85	75	54	81
ASV_8	19	59	53	70	220	57	51	268	143	61	256	199	225	49	125	128	193	150	88	140	284	237	279	390	70	107	232	257	126	191	172	317	273	451	815	410	1100	368	322	393	414	446	476	179	182	247	247	53	248	116	413	129	90	301	134	140	92	122	73	168	190	213	304	196	316	404	234	214	283	202	165	266	407	280	415	298	325	430	317	304	270	403	404	356	489
ASV_9	40	0	40	53	71	181	38	177	133	29	115	270	142	175	109	134	76	104	859	76	159	154	240	257	438	70	67	80	159	1229	984	1097	2184	721	267	356	822	332	465	465	504	491	1402	115	45	0	0	59	110	24	140	91	25	117	64	78	64	148	237	72	106	438	162	250	412	279	261	145	75	42	44	34	57	67	369	60	78	216	148	61	86	40	56	252	36
ASV_10	246	173	159	223	82	352	113	338	426	139	199	377	280	34	357	244	345	346	180	121	297	103	561	140	306	293	202	429	236	19	22	16	9	99	538	417	399	201	172	267	406	224	246	124	83	123	215	138	129	194	493	247	158	387	238	186	151	386	55	281	374	278	205	172	426	177	153	468	408	344	187	83	98	157	164	160	194	423	256	138	146	123	134	181	204
