All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_2B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_2B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_1B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_2B_NO20	MP_E52_1B_DY20	MP_E258_2B_NO20	MP_E54_2B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_2B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_2B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_2B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_2B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_2B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_1B_NO20	MP_E259_1B_NO20	MP_E53_2B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_2B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
	% Known	99.99	99.93	99.97	99.96	99.98	99.99	99.99	99.94	99.86	99.94	99.31	99.98	99.59	100	98.23	99.89	99.41	99.65	99.9	99.84	99.97	99.85	99.71	99.67	99.91	99.93	99.5	99.97	100	99.99	100	99.78	99.96	99.98	99.84	98.26	98.82	99.99	99.09	99.98	98.24	98.31	99.97	99.99	99.93	99.93	99.98	99.99	99.97	99.99	99.67	99.99	99.35	99.97	99.76	99.98	99.62	99.99	99.52	99.54	99.8	99.87	99.96	99.56	99.94	99.49	98.72	99.97	99.49	99.97	99.98	99.99	99.99	99.77	99.93	99.99	99.03	99.73	99.79	99.98	99.61	99.96	99.76	99.27
	% Eukaryote	98.83	97.4	97.75	97.54	96.42	96.6	99.14	98.35	98.43	84.02	96.56	97.82	94.46	99.53	95.56	88.61	96.65	94.24	99.25	94.26	90.4	96.45	90.74	96.06	94.02	98.74	99.08	98.42	96.37	93.16	94.21	98.54	96.85	99.39	98.59	97.56	97.49	95.55	96.53	95.46	96.26	95.61	95.77	96.82	96.96	98.66	98.72	91.33	91.09	95.78	97.32	88.68	94.91	95.67	92.83	81.38	98.52	95.55	95.34	94.51	95.71	98.14	94.21	96.67	96.61	90.57	92.34	97.12	94.95	96.59	93.65	96.43	96.52	92.51	95.94	98.62	93.88	97.62	97.48	95.72	97.31	96.17	96.84	92.95
	% Prokaryote	0.04	0.2	0.09	0.07	0	0	0.05	0.02	0	0.05	0.2	0.02	0.05	0	0.17	0.09	0.09	0.17	0.03	0.27	0.1	0.1	0.95	0.09	0.13	0.02	0.03	0.03	0.07	0.02	0.05	0.56	0.08	0.04	0	0.47	0.18	0.03	0.76	0.02	0.52	0.9	0.08	0.17	0.11	0.11	0.02	0.05	0.08	0.05	0.11	0.02	0.94	0.04	0.15	0.05	0.07	0.03	0.46	0.09	0.1	0.04	0.03	0.29	0.15	3.33	1.01	0.06	0.2	0.13	0.24	0.2	0.05	0.65	0.24	0.03	1.25	0.29	0.53	0.08	0.36	0.43	0.47	1.15
	<<<Acantharea__p>>>
Eukaryota;Acantharea__p;Acantharea;Arthracanthida;NA;NA;NA	Arthracanthida	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.01	0	0.01	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.07	0.11	0.05	0	0.04	0	0	0	0	0.04	0	0.03	0	0
Eukaryota;Acantharea__p;Acantharea;Arthracanthida;Phyllostauridae;NA;NA	Phyllostauridae	0	0	D	0.01	0.2	0	0.03	0.02	0	0.01	0.02	0	0	0	0	0.06	0.04	0	0.01	0	0	0	0	0	0	D	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0.06	0	0	D	0.03	0.07	0.11	0.05	0	0.07	0.08	0	0.02	0	0.02	0	0.03	0	0	0.01	0	0	0	0.04	0.03	0	0	0	0.05	0	0.07	0.03	0.03	0.1	0	0	D	0	0.01	0.02	0.03	0	0	0.02	0.04
Eukaryota;Acantharea__p;Acantharea;NA;NA;NA;NA	Acantharea	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.07	0	0	0.03	0.07	0.07	0	0	0.03	0	0	0	0.07	0	0	0	0	0	0.01	0	0.02	0	0	0	0	0	0	0.01	0	0.04	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.03	0	0.18
	<<<Annelida>>>
Eukaryota;Annelida;Polychaeta;Capitellidae__o;Capitellidae;NA;NA	Capitellidae	0	0	0	1.8	0.55	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0.9	1.88	1.2	0	1.55	3.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0
Eukaryota;Annelida;Polychaeta;Echiuroidea;Echiuridae;Echiurus;NA	Echiurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
